1,Гослiнг,Раян,Васильович,"м. Житомир, вул. Шевченка, 12",+380935875367
2,Погребнюк,Iгор,Петрович,"м. Зеленодольськ, вул. Андрiївська, 156",+380934695606
3,Давидович,Дарина,Назарiвна,"м. Дрогобич, вул. Болгарська, 143",+380678056425
4,Гречко,Наталiя,Вартанiвна,"м. Валки, вул. Бальзакiвська, 71",+380673537590
5,Дядечко,Христина,Романiвна,"м. Буча, вул. Професора Кравченка, 141",+380956815056
6,Заїчко,Людмила,Данилiвна,"м. Первомайський, вул. Археологiчна, 147",+380662078117
7,Завальнюк,Олексiй,Тарасович,"м. Вовчанськ, вул. Крошенська, 38",+380660893728
8,Мисько,Олег,Олегович,"м. Помiчна, вул. Зарiчна, 80",+380660994805
9,Гадючко,Веронiка,Iгорiвна,"м. Угнiв, вул. Лiкаря Бланка, 38",+380956661584
10,Заїчко,Етель,Вiталiївна,"м. Кодима, вул. Винниченка, 101",+380687124724
11,Андрiєнюк,Соломiя,Романiвна,"м. Богуслав, вул. Згоди, 5",+380635216623
12,Шостачко,Сергiй,Степанович,"м. Заставна, вул. Андрiївська, 83",+380677716643
13,Юречко,Сергiй,Степанович,"м. Борзна, вул. Корольова, 12",+380675647916
14,Дядечко,Святослав,Матвiйович,"м. Соснiвка, вул. Крошенська, 6",+380932680711
15,Зуєвич,Марта,Мирославiвна,"м. Тячiв, вул. Купальна, 191",+380632735456
16,Андрухович,Юлiя,Олегiвна,"м. Дружба, вул. Князiв Острозьких, 108",+380506972322
17,Сахнович,Анастасiя,Владиславiвна,"м. Золочiв, вул. Коцюбинського, 60",+380639779924
18,Скачко,Костянтин,Дмитрович,"м. Вуглегiрськ, вул. Євгена Коновальця, 93",+380958378638
19,Безручко,Ксенiя,Сергiївна,"м. Теплодар, вул. Гоголiвська, 2",+380668759988
20,Смицнюк,Валентина,Сергiївна,"м. Коростишiв, вул. Iвана Гонти, 181",+380675093566
21,Яїчко,Катерина,Бронiславiвна,"м. Лебедин, вул. Дмитрiвська, 33",+380939796211
22,Шухевич,Андрiй,Степанович,"м. Карлiвка, вул. Житнiй Базар, 39",+380631105188
23,Коцюбович,Матвiй,Олександрович,"м. Борзна, вул. Кам'янська, 73",+380931244474
24,Огiєвич,Степан,Денисович,"м. Тернiвка, вул. Захiдна, 153",+380632645319
25,Присяжнюк,Надiя,Денисiвна,"м. Кобеляки, вул. Професора Амалицького, 127",+380683179930
26,Науменюк,Мирослава,Владиславiвна,"м. Смiла, вул. Вiльський Шлях, 153",+380958240948
27,Фучко,Людмила,Тарасiвна,"м. Алмазна, вул. Богуна, 184",+380937727692
28,Головачко,Дмитро,Денисович,"м. Мар'їнка, вул. Лiкаря Бланка, 44",+380636496220
29,Ковбаснюк,Людмила,Артемiвна,"м. Первомайськ, вул. Кармелюка, 42",+380660493710
30,Гриневич,Дмитро,Ярославович,"м. Кремiнна, вул. Глибочицька, 38",+380500593704
31,Смицнюк,Олег,Костянтинович,"м. Ялта, вул. Басейна, 49",+380689569272
32,Загороднюк,Олена,Анатолiївна,"м. Рогатин, вул. Володимирська, 70",+380666492498
33,Тонiєвич,Олег,Вiкторович,"м. Моршин, вул. Богунська, 15",+380508459423
34,Давидович,Микола,Вiталiйович,"м. Бахмут, вул. Героїв Крут, 196",+380674398927
35,Пасiчнюк,Артем,Iгорович,"м. Подiльськ, вул. Андрiївський узвiз, 120",+380686146209
36,Сташкевич,Олександр,Муратович,"м. Тернiвка, вул. Тараса Бульби-Боровця, 192",+380507689906
37,Лукачко,Вiкторiя,Владиславiвна,"м. Сокаль, вул. Зелена, 75",+380950485496
38,Сакевич,Аврора,Iгорiвна,"м. Нововолинськ, вул. Героїв Базару, 36",+380673256960
39,Вуїчко,Ганна,Дмитрiвна,"м. Тисмениця, вул. Болгарська, 151",+380959039833
40,Саєвич,Вiталiна,Максимiвна,"м. Мiусинськ, вул. Кибальчича, 125",+380956385130
41,Гнатисько,Петро,Олегович,"м. Радехiв, вул. Героїв Пожежних, 23",+380631808323
42,Денькович,Анастасiя,Артемiвна,"м. Немирiв, вул. Князiв Острозьких, 24",+380954716777
43,Шухевич,Станiслава,Бронiславiвна,"м. Узин, вул. Звягельська, 62",+380668034258
44,Безручко,Аделiна,Святославiвна,"м. Покров, вул. Космонавтiв, 142",+380937819113
45,Денькович,Софiя,Владиславiвна,"м. Гайсин, вул. Визволення, 9",+380957823728
46,Нарушевич,Нiна,Юрiївна,"м. Новоазовськ, вул. Гагарiна, 85",+380955137749
47,Гриневич,Леся,Степанiвна,"м. Могилiв-Подiльський, вул. Професора Кравченка, 12",+380936538020
48,Iваночко,Варвара,Ярославiвна,"м. Алупка, вул. Iвана Богуна, 76",+380684290211
49,Пиячко,Степан,Олексiйович,"м. Волочиськ, вул. Лiкаря Бланка, 82",+380669159363
50,Iваночко,Галина,Костянтинiвна,"м. Христинiвка, вул. Звягельська, 42",+380957877370
51,Ямнюк,Вiкторiя,Олексiївна,"м. Олександрiвськ, вул. Винниченка, 61",+380631597903
52,Боєчко,Ярослав,Бронiславович,"м. Старий Самбiр, вул. Авiаторiв, 83",+380959309061
53,Ковбаснюк,Ганна,Данилiвна,"м. Iчня, вул. Вiльський Шлях, 126",+380953504157
54,Леочко,Вiталiй,Олегович,"м. Городок, вул. Героїв Базару, 205",+380933237061
55,Пиячко,Матвiй,Владиславович,"м. Андрушiвка, вул. Будiвельна, 126",+380630487052
56,Онисько,Iван,Данилович,"м. Борислав, вул. Академiка Дашкевича, 49",+380504870078
57,Лукачко,Веронiка,Валерiївна,"м. Радехiв, вул. Будiвельна, 186",+380679922024
58,Сахнюк,Меланiя,Павлiвна,"м. Славута, вул. Декабристiв, 1",+380952986488
59,Гадючко,Данило,Мирославович,"м. Ясинувата, вул. Глибочицька, 4",+380673312422
60,Шостачко,Вартан,Андрiйович,"м. Красноград, вул. Будинки Офiцерського Складу, 82",+380671974909
61,Боїчко,Iгор,Сергiйович,"м. Луцьк, вул. Короленка, 72",+380934046395
62,Онисько,Валентина,Ярославiвна,"м. Козятин, вул. Героїв Крут, 27",+380664641570
63,Козакевич,Вiталiна,Василiвна,"м. Першотравенськ, вул. Андрiївський узвiз, 42",+380668559739
64,Павличко,Ганна,Святославiвна,"м. Новий Калинiв, вул. Житнiй Ринок, 88",+380675648428
65,Андрiєчко,Дiана,Максимiвна,"м. Костопiль, вул. Козацька, 14",+380631252229
66,Сiчко,Василь,Романович,"м. Баштанка, вул. Корольова, 120",+380665376290
